state_name,year,id_stringency_tier,tier_label,verified,source_note
Tennessee,2020,2,Strict ID required,True,Same strict law remained in effect
Alabama,2012,1,ID requested/non-strict,False,Default: current classification
Alabama,2020,1,ID requested/non-strict,False,"Default: current classification (AL law passed 2011, delayed to 2014 for preclearance -- verify 2012 status)"
Alaska,2012,1,ID requested/non-strict,False,Default: current classification
Alaska,2020,1,ID requested/non-strict,False,Default: current classification
Arizona,2012,2,Strict ID required,False,Default: current classification
Arizona,2020,2,Strict ID required,False,Default: current classification
Arkansas,2012,1,ID requested/non-strict,False,Default: current classification
Arkansas,2020,1,ID requested/non-strict,False,"NCSL: enacted stricter law after 2020, verify pre-2020 status"
Colorado,2012,1,ID requested/non-strict,False,Default: current classification
Colorado,2020,1,ID requested/non-strict,False,Default: current classification
Delaware,2012,1,ID requested/non-strict,False,Default: current classification
Delaware,2020,1,ID requested/non-strict,False,Default: current classification
Florida,2012,1,ID requested/non-strict,False,Default: current classification
Florida,2020,1,ID requested/non-strict,False,Default: current classification
Hawaii,2012,1,ID requested/non-strict,False,Default: current classification
Hawaii,2020,1,ID requested/non-strict,False,Default: current classification
Idaho,2012,1,ID requested/non-strict,False,Default: current classification
Idaho,2020,1,ID requested/non-strict,False,"NCSL: enacted stricter law after 2020, verify pre-2020 status"
Kentucky,2012,1,ID requested/non-strict,False,Default: current classification
Kentucky,2020,1,ID requested/non-strict,False,"KY moved to strict photo ID via 2021 law -- likely lower tier in 2012/2020, verify"
Louisiana,2012,1,ID requested/non-strict,False,Default: current classification
Louisiana,2020,1,ID requested/non-strict,False,Default: current classification
Michigan,2012,1,ID requested/non-strict,False,Default: current classification
Michigan,2020,1,ID requested/non-strict,False,Default: current classification
Mississippi,2012,2,Strict ID required,False,Default: current classification
Mississippi,2020,2,Strict ID required,False,"MS photo ID law approved 2011, implementation delayed to 2014 -- verify 2012 status"
Missouri,2012,1,ID requested/non-strict,False,Default: current classification
Missouri,2020,1,ID requested/non-strict,False,"NCSL: enacted stricter law after 2020, verify pre-2020 status"
Montana,2012,1,ID requested/non-strict,False,Default: current classification
Montana,2020,1,ID requested/non-strict,False,"NCSL: enacted stricter law after 2020, verify pre-2020 status"
New Mexico,2012,0,No ID required,False,Default: current classification
New Mexico,2020,0,No ID required,False,Default: current classification
New York,2012,0,No ID required,False,Default: current classification
New York,2020,0,No ID required,False,Default: current classification
North Dakota,2012,2,Strict ID required,False,Default: current classification
North Dakota,2020,2,Strict ID required,False,Default: current classification
Ohio,2012,1,ID requested/non-strict,False,Default: current classification
Ohio,2020,1,ID requested/non-strict,False,"NCSL: enacted stricter law after 2020, verify pre-2020 status"
Oklahoma,2012,1,ID requested/non-strict,False,Default: current classification
Oklahoma,2020,1,ID requested/non-strict,False,Default: current classification
Oregon,2012,0,No ID required,False,Default: current classification
Oregon,2020,0,No ID required,False,Default: current classification
Rhode Island,2012,1,ID requested/non-strict,False,Default: current classification
Rhode Island,2020,1,ID requested/non-strict,False,"RI photo ID law took effect Jan 2012, verify if fully phased in for Nov 2012"
South Carolina,2012,1,ID requested/non-strict,False,Default: current classification
South Carolina,2020,1,ID requested/non-strict,False,"SC 2011 law blocked by DOJ under Section 5, implemented 2013 -- verify 2012 status"
South Dakota,2012,1,ID requested/non-strict,False,Default: current classification
South Dakota,2020,1,ID requested/non-strict,False,Default: current classification
Utah,2012,1,ID requested/non-strict,False,Default: current classification
Utah,2020,1,ID requested/non-strict,False,Default: current classification
Vermont,2012,0,No ID required,False,Default: current classification
Vermont,2020,0,No ID required,False,Default: current classification
Virginia,2012,1,ID requested/non-strict,False,Default: current classification
Virginia,2020,2,Strict ID required,False,VA moved from non-strict to strict photo ID starting 2014 -- verify
Washington,2012,1,ID requested/non-strict,False,Default: current classification
Washington,2020,1,ID requested/non-strict,False,Default: current classification
West Virginia,2012,1,ID requested/non-strict,False,Default: current classification
West Virginia,2020,1,ID requested/non-strict,False,Default: current classification
Wyoming,2012,2,Strict ID required,False,Default: current classification
Wyoming,2020,1,ID requested/non-strict,False,"NCSL: enacted stricter law after 2020, verify pre-2020 status"
District of Columbia,2012,0,No ID required,False,Default: current classification
District of Columbia,2020,0,No ID required,False,Default: current classification
